Configs: FCNs_batch1_epoch50_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-51
Finish cuda loading, time elapsed 0.127589941025
epoch0, iter2020, loss: 2.22564101219
epoch0, iter2021, loss: -2.57781600952
epoch0, iter2030, loss: 2.46123456955
epoch0, iter2031, loss: -2.25990605354
epoch0, iter2040, loss: 1.9303278923
epoch0, iter2041, loss: -2.35830974579
epoch0, iter2050, loss: 1.92102169991
epoch0, iter2051, loss: -2.3440759182
epoch0, iter2060, loss: 1.79767131805
epoch0, iter2061, loss: -2.19932317734
epoch0, iter2070, loss: 2.13974261284
epoch0, iter2071, loss: -2.33895587921
epoch0, iter2080, loss: 1.89579963684
epoch0, iter2081, loss: -1.91272711754
epoch0, iter2090, loss: 2.52550339699
epoch0, iter2091, loss: -4.03351306915
epoch0, iter2100, loss: 2.74381518364
epoch0, iter2101, loss: -2.13579177856
epoch0, iter2110, loss: 1.84767174721
epoch0, iter2111, loss: -2.09196710587
epoch0, iter2120, loss: 1.85617232323
epoch0, iter2121, loss: -2.80811476707
epoch0, iter2130, loss: 2.45170307159
epoch0, iter2131, loss: -2.40374422073
epoch0, iter2140, loss: 3.00812792778
epoch0, iter2141, loss: -2.43902945518
epoch0, iter2150, loss: 2.31170153618
epoch0, iter2151, loss: -2.31587147713
epoch0, iter2160, loss: 2.44514393806
epoch0, iter2161, loss: -2.43174958229
epoch0, iter2170, loss: 2.49486517906
epoch0, iter2171, loss: -2.78235387802
epoch0, iter2180, loss: 2.41909003258
epoch0, iter2181, loss: -2.77246022224
epoch0, iter2190, loss: 1.75883150101
epoch0, iter2191, loss: -2.19262051582
epoch0, iter2200, loss: 2.02711701393
epoch0, iter2201, loss: -2.10920619965
epoch0, iter2210, loss: 2.4632833004
epoch0, iter2211, loss: -2.68604326248
epoch0, iter2220, loss: 1.86354732513
epoch0, iter2221, loss: -1.77027773857
epoch0, iter2230, loss: 2.11877584457
epoch0, iter2231, loss: -2.14640235901
epoch0, iter2240, loss: 2.23196673393
epoch0, iter2241, loss: -1.81935119629
epoch0, iter2250, loss: 1.62120580673
epoch0, iter2251, loss: -2.23999285698
epoch0, iter2260, loss: 2.23250412941
epoch0, iter2261, loss: -2.3359439373
epoch0, iter2270, loss: 2.05946707726
epoch0, iter2271, loss: -2.33261418343
epoch0, iter2280, loss: 2.01451802254
epoch0, iter2281, loss: -2.57266378403
epoch0, iter2290, loss: 1.72083640099
epoch0, iter2291, loss: -2.0267033577
epoch0, iter2300, loss: 1.95822548866
epoch0, iter2301, loss: -2.43007445335
epoch0, iter2310, loss: 2.9862306118
epoch0, iter2311, loss: -2.21715712547
epoch0, iter2320, loss: 3.04320263863
epoch0, iter2321, loss: -1.80090403557
epoch0, iter2330, loss: 2.4191634655
epoch0, iter2331, loss: -2.12187409401
epoch0, iter2340, loss: 2.61930251122
epoch0, iter2341, loss: -2.60306239128
epoch0, iter2350, loss: 1.94362998009
epoch0, iter2351, loss: -2.03663778305
