Configs: FCNs_batch5_epoch500_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-05
Finish cuda loading, time elapsed 6.45872712135
epoch0, iter2070, loss: 0.25141915679
epoch0, iter2080, loss: 0.10402546078
epoch0, iter2090, loss: 0.136441245675
epoch0, iter2100, loss: 0.201032087207
epoch0, iter2110, loss: 0.138542413712
epoch0, iter2120, loss: 0.17817465961
epoch0, iter2130, loss: 0.164761394262
epoch0, iter2140, loss: 0.226832464337
epoch0, iter2150, loss: 0.180413812399
epoch0, iter2160, loss: 0.170171827078
epoch0, iter2170, loss: 0.189603388309
epoch0, iter2180, loss: 0.293722689152
epoch0, iter2190, loss: 0.180377990007
epoch0, iter2200, loss: 0.203897222877
epoch0, iter2210, loss: 0.195661708713
epoch0, iter2220, loss: 0.184801310301
epoch0, iter2230, loss: 0.162418454885
epoch0, iter2240, loss: 0.15978628397
epoch0, iter2250, loss: 0.270322978497
epoch0, iter2260, loss: 0.162883281708
epoch0, iter2270, loss: 0.166385322809
epoch0, iter2280, loss: 0.129805609584
epoch0, iter2290, loss: 0.126333370805
epoch0, iter2300, loss: 0.140443146229
epoch0, iter2310, loss: 0.11109444499
epoch0, iter2320, loss: 0.170044511557
epoch0, iter2330, loss: 0.136273741722
epoch0, iter2340, loss: 0.1601549685
epoch0, iter2350, loss: 0.135390087962
epoch0, iter2360, loss: 0.143352597952
epoch0, iter2370, loss: 0.213457345963
epoch0, iter2380, loss: 0.233947664499
epoch0, iter2390, loss: 0.24924968183
Finish epoch 0, time elapsed 2917.81418014
epoch0, pix_acc: 0.0, meanIoU: 0.52825760863, IoUs: [3.48005325e-01 9.16069352e-01 9.44442849e-01 9.28175069e-01
 9.00725874e-01 1.90507938e-04 0.00000000e+00 5.36301910e-01
 5.86010542e-01 1.92148588e-01 7.19462160e-01 2.72138276e-01
 5.23678460e-01]
epoch1, iter0, loss: 0.122720822692
epoch1, iter10, loss: 1.52949178219
epoch1, iter20, loss: 0.290865570307
epoch1, iter30, loss: 0.165648669004
epoch1, iter40, loss: 0.269724160433
epoch1, iter50, loss: 0.225226819515
epoch1, iter60, loss: 0.126820296049
epoch1, iter70, loss: 0.132778644562
epoch1, iter80, loss: 0.21416772902
epoch1, iter90, loss: 0.128835305572
epoch1, iter100, loss: 0.130959063768
epoch1, iter110, loss: 0.134895175695
epoch1, iter120, loss: 0.235896483064
epoch1, iter130, loss: 0.19451841712
epoch1, iter140, loss: 0.290200710297
epoch1, iter150, loss: 0.20621868968
epoch1, iter160, loss: 0.118264742196
epoch1, iter170, loss: 0.139733836055
epoch1, iter180, loss: 0.251764148474
epoch1, iter190, loss: 0.187870413065
epoch1, iter200, loss: 0.126410067081
epoch1, iter210, loss: 0.132179811597
epoch1, iter220, loss: 0.140464365482
epoch1, iter230, loss: 0.18828637898
epoch1, iter240, loss: 0.167888104916
epoch1, iter250, loss: 0.138916283846
epoch1, iter260, loss: 0.137709736824
epoch1, iter270, loss: 0.0944252759218
epoch1, iter280, loss: 0.169608727098
epoch1, iter290, loss: 0.237767636776
epoch1, iter300, loss: 0.140163987875
epoch1, iter310, loss: 0.186251729727
epoch1, iter320, loss: 0.242354959249
epoch1, iter330, loss: 0.202931955457
epoch1, iter340, loss: 0.1751165241
epoch1, iter350, loss: 0.15616415441
epoch1, iter360, loss: 0.165857642889
epoch1, iter370, loss: 0.156570762396
epoch1, iter380, loss: 0.11810336262
epoch1, iter390, loss: 0.151292338967
epoch1, iter400, loss: 0.623263299465
epoch1, iter410, loss: 0.220012679696
epoch1, iter420, loss: 0.156221419573
epoch1, iter430, loss: 0.121479414403
epoch1, iter440, loss: 0.124283231795
epoch1, iter450, loss: 0.141112625599
epoch1, iter460, loss: 0.155900329351
epoch1, iter470, loss: 0.164453446865
epoch1, iter480, loss: 0.123486682773
epoch1, iter490, loss: 0.137373104692
epoch1, iter500, loss: 0.0808435678482
epoch1, iter510, loss: 0.239991992712
epoch1, iter520, loss: 0.121821552515
epoch1, iter530, loss: 0.146031469107
epoch1, iter540, loss: 0.0719033032656
epoch1, iter550, loss: 0.152723103762
epoch1, iter560, loss: 0.48233705759
epoch1, iter570, loss: 0.184176534414
epoch1, iter580, loss: 0.0842573940754
epoch1, iter590, loss: 0.122067190707
epoch1, iter600, loss: 0.128944039345
epoch1, iter610, loss: 0.0795095637441
epoch1, iter620, loss: 0.128349274397
epoch1, iter630, loss: 0.120955497026
epoch1, iter640, loss: 0.0992954969406
epoch1, iter650, loss: 0.175894156098
epoch1, iter660, loss: 0.111112847924
epoch1, iter670, loss: 0.107776246965
epoch1, iter680, loss: 0.183462709188
epoch1, iter690, loss: 0.137538403273
epoch1, iter700, loss: 0.081136725843
epoch1, iter710, loss: 0.157236233354
epoch1, iter720, loss: 0.339419364929
epoch1, iter730, loss: 0.323706269264
epoch1, iter740, loss: 0.259230166674
epoch1, iter750, loss: 0.0694289579988
epoch1, iter760, loss: 0.117410354316
epoch1, iter770, loss: 0.176916897297
epoch1, iter780, loss: 0.124310061336
epoch1, iter790, loss: 0.127791211009
epoch1, iter800, loss: 0.085788808763
epoch1, iter810, loss: 0.0862427577376
epoch1, iter820, loss: 0.153675839305
epoch1, iter830, loss: 0.133377850056
epoch1, iter840, loss: 0.126125052571
epoch1, iter850, loss: 0.0854058265686
epoch1, iter860, loss: 0.172334507108
epoch1, iter870, loss: 0.113522484899
epoch1, iter880, loss: 0.116775624454
epoch1, iter890, loss: 0.12234172225
epoch1, iter900, loss: 0.0772856101394
epoch1, iter910, loss: 0.143332108855
epoch1, iter920, loss: 0.179100081325
epoch1, iter930, loss: 0.190294086933
epoch1, iter940, loss: 0.128388240933
epoch1, iter950, loss: 0.107902042568
epoch1, iter960, loss: 0.107887171209
epoch1, iter970, loss: 0.171125560999
epoch1, iter980, loss: 0.114342056215
epoch1, iter990, loss: 0.118318922818
epoch1, iter1000, loss: 0.107726246119
epoch1, iter1010, loss: 0.177487164736
epoch1, iter1020, loss: 0.0967093110085
epoch1, iter1030, loss: 0.0734856277704
epoch1, iter1040, loss: 0.101539716125
epoch1, iter1050, loss: 0.139905512333
epoch1, iter1060, loss: 0.837733626366
epoch1, iter1070, loss: 0.216214433312
epoch1, iter1080, loss: 0.176754117012
epoch1, iter1090, loss: 0.159445390105
epoch1, iter1100, loss: 0.135606497526
epoch1, iter1110, loss: 0.0806966423988
epoch1, iter1120, loss: 0.13501483202
epoch1, iter1130, loss: 0.113966800272
epoch1, iter1140, loss: 0.106679916382
epoch1, iter1150, loss: 0.113400831819
epoch1, iter1160, loss: 0.0847651362419
epoch1, iter1170, loss: 0.117487423122
epoch1, iter1180, loss: 0.816066861153
epoch1, iter1190, loss: 0.147377371788
epoch1, iter1200, loss: 0.187457025051
epoch1, iter1210, loss: 0.149038642645
epoch1, iter1220, loss: 0.125666737556
epoch1, iter1230, loss: 0.12980812788
epoch1, iter1240, loss: 0.133146256208
epoch1, iter1250, loss: 0.182184010744
epoch1, iter1260, loss: 0.124244593084
epoch1, iter1270, loss: 0.157726749778
epoch1, iter1280, loss: 0.0872934088111
epoch1, iter1290, loss: 0.128914609551
epoch1, iter1300, loss: 0.108025103807
epoch1, iter1310, loss: 0.166268259287
epoch1, iter1320, loss: 0.17263327539
epoch1, iter1330, loss: 0.0868152976036
epoch1, iter1340, loss: 0.129109308124
epoch1, iter1350, loss: 0.127631038427
epoch1, iter1360, loss: 0.0781543850899
epoch1, iter1370, loss: 0.0814208686352
epoch1, iter1380, loss: 0.115056805313
epoch1, iter1390, loss: 0.132106676698
epoch1, iter1400, loss: 0.0739137679338
epoch1, iter1410, loss: 1.11122846603
epoch1, iter1420, loss: 0.159936070442
epoch1, iter1430, loss: 0.148518487811
epoch1, iter1440, loss: 0.116145551205
epoch1, iter1450, loss: 0.111641794443
epoch1, iter1460, loss: 0.150567486882
epoch1, iter1470, loss: 1.26875638962
epoch1, iter1480, loss: 0.240832805634
epoch1, iter1490, loss: 0.198748275638
epoch1, iter1500, loss: 0.157185479999
epoch1, iter1510, loss: 0.0820061787963
epoch1, iter1520, loss: 0.121754765511
epoch1, iter1530, loss: 0.162720352411
epoch1, iter1540, loss: 0.0847109183669
epoch1, iter1550, loss: 0.133839532733
epoch1, iter1560, loss: 0.0826470255852
epoch1, iter1570, loss: 0.126188442111
epoch1, iter1580, loss: 0.138172984123
epoch1, iter1590, loss: 0.0843631252646
epoch1, iter1600, loss: 0.105031713843
epoch1, iter1610, loss: 0.0950650647283
epoch1, iter1620, loss: 0.142814517021
epoch1, iter1630, loss: 0.286247938871
epoch1, iter1640, loss: 0.123216129839
epoch1, iter1650, loss: 0.125435426831
epoch1, iter1660, loss: 0.136034011841
